case_id,class_sep,flip_y,positive_rate,model,threshold,predicted_positive_rate,precision,recall,f1,f2,balanced_accuracy,roc_auc,pr_auc,tn,fp,fn,tp
ideal_separable,1.6,0.01,0.06375,RandomForest_balanced,0.5,0.05375,0.937984496124031,0.7908496732026143,0.8581560283687943,0.8164642375168691,0.8936446852884457,0.9650965266688192,0.9029756309091221,2239,8,32,121
ideal_separable,1.6,0.01,0.06375,LogReg_balanced,0.5,0.11375,0.5091575091575091,0.9084967320261438,0.6525821596244131,0.7853107344632768,0.9244308315226402,0.9670555657361594,0.8819621969433922,2113,134,14,139
ideal_separable,1.6,0.01,0.06375,EasyEnsemble_simple,0.5,0.09458333333333334,0.6123348017621145,0.9084967320261438,0.7315789473684211,0.8283671036948749,0.9346667015715944,0.9589372613011976,0.8657128797914039,2159,88,14,139
ideal_separable,1.6,0.01,0.06375,BalanceCascade_tuned,0.5,0.23208333333333334,0.2495511669658887,0.9084967320261438,0.39154929577464787,0.5945252352437981,0.8612354599160537,0.9471568482013782,0.8560812857948985,1829,418,14,139
ideal_separable,1.6,0.01,0.06375,BalanceCascade_simple,0.5,0.29875,0.18410041841004185,0.8627450980392157,0.30344827586206896,0.4966139954853273,0.8011989842666039,0.9259579221096539,0.8337579847830232,1662,585,21,132
weak_overlap,0.45,0.08,0.095625,RandomForest_balanced,0.5,0.023333333333333334,0.7678571428571429,0.18777292576419213,0.3017543859649123,0.22119341563786007,0.5908924509060481,0.6677400992439039,0.3504273565543721,2158,13,186,43
weak_overlap,0.45,0.08,0.095625,EasyEnsemble_simple,0.5,0.25125,0.175787728026534,0.462882096069869,0.2548076923076923,0.3489137590520079,0.6169776671044878,0.6419143573786253,0.25897026427698255,1674,497,123,106
weak_overlap,0.45,0.08,0.095625,BalanceCascade_simple,0.5,0.5866666666666667,0.10795454545454546,0.6637554585152838,0.1857055589492975,0.3270223752151463,0.542610110648706,0.5723681960901844,0.1496924782976667,915,1256,77,152
weak_overlap,0.45,0.08,0.095625,LogReg_balanced,0.5,0.40125,0.13707165109034267,0.5764192139737991,0.2214765100671141,0.35125066524747206,0.5968231491333759,0.6254658972280498,0.14324854674134488,1340,831,97,132
weak_overlap,0.45,0.08,0.095625,BalanceCascade_tuned,0.5,0.66875,0.10529595015576323,0.7379912663755459,0.18429661941112324,0.33518445061483537,0.5382724641412506,0.5656329262871637,0.1357250003751204,735,1436,60,169
